ess_round,year,response_category,freq,percent,cum_percent
10,2021/22,Made redundant/lost job: Not marked,1617.859,96.59,96.59
10,2021/22,Made redundant/lost job: Marked,57.141,3.41,100.0
10,2021/22,Income from job reduced: Not marked,1589.4783,94.89,94.89
10,2021/22,Income from job reduced: Marked,85.5217,5.11,100.0
10,2021/22,Working hours reduced: Not marked,1581.6551,94.43,94.43
10,2021/22,Working hours reduced: Marked,93.345,5.57,100.0
10,2021/22,Furloughed: Not marked,1489.6586,88.93,88.93
10,2021/22,Furloughed: Marked,185.3414,11.07,100.0
10,2021/22,Forced to take unpaid leave/holiday: Not marked,1642.8848,98.08,98.08
10,2021/22,Forced to take unpaid leave/holiday: Marked,32.1152,1.92,100.0
10,2021/22,None of these (no pandemic-related job/income impact): Not marked,717.5603,40.54,40.54
10,2021/22,None of these (no pandemic-related job/income impact): Marked,1052.4397,59.46,100.0
