ess_round,year,response_category,freq,percent,cum_percent
10,2021/22,Much more important to prioritise public health,111.5267,12.88,12.88
10,2021/22,1,48.3251,5.58,18.46
10,2021/22,2,124.5251,14.38,32.84
10,2021/22,3,87.7466,10.13,42.97
10,2021/22,4,76.5157,8.84,51.81
10,2021/22,5,233.915,27.01,78.82
10,2021/22,6,55.2553,6.38,85.2
10,2021/22,7,53.352,6.16,91.36
10,2021/22,8,39.2607,4.53,95.89
10,2021/22,9,21.5228,2.49,98.38
10,2021/22,Much more important to prioritise economic activity,14.0549,1.62,100.0
