ess_round,year,response_category,freq,percent,cum_percent
10,2021/22,Much more important to monitor and track the public,21.1451,2.48,2.48
10,2021/22,1,10.4085,1.22,3.69
10,2021/22,2,30.8548,3.61,7.31
10,2021/22,3,41.3173,4.84,12.15
10,2021/22,4,33.4371,3.92,16.06
10,2021/22,5,169.1915,19.81,35.87
10,2021/22,6,100.6893,11.79,47.66
10,2021/22,7,88.6595,10.38,58.04
10,2021/22,8,157.8882,18.49,76.53
10,2021/22,9,65.9835,7.73,84.26
10,2021/22,Much more important to maintain public privacy,134.4252,15.74,100.0
