ess_round,year,response_category,freq,percent,cum_percent
10,2021/22,Much more important to follow government rules,177.7733,10.26,10.26
10,2021/22,1,102.138,5.9,16.16
10,2021/22,2,185.8531,10.73,26.89
10,2021/22,3,168.6045,9.73,36.63
10,2021/22,4,139.1986,8.04,44.66
10,2021/22,5,333.3765,19.25,63.91
10,2021/22,6,183.0704,10.57,74.48
10,2021/22,7,172.8119,9.98,84.46
10,2021/22,8,131.6877,7.6,92.06
10,2021/22,9,61.7136,3.56,95.63
10,2021/22,Much more important to make your own decisions,75.7724,4.37,100.0
