category,group_type,group_value,value,unit
government_handling: Extremely dissatisfied,c19_experience,"Yes, I tested positive for COVID-19",1.81,percent
government_handling: Extremely dissatisfied,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",1.36,percent
government_handling: Extremely dissatisfied,c19_experience,"No, I have not had COVID-19",1.74,percent
government_handling: 1,c19_experience,"Yes, I tested positive for COVID-19",0.97,percent
government_handling: 1,c19_experience,"No, I have not had COVID-19",0.71,percent
government_handling: 2,c19_experience,"Yes, I tested positive for COVID-19",3.55,percent
government_handling: 2,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",1.68,percent
government_handling: 2,c19_experience,"No, I have not had COVID-19",2.21,percent
government_handling: 3,c19_experience,"Yes, I tested positive for COVID-19",2.85,percent
government_handling: 3,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",4.04,percent
government_handling: 3,c19_experience,"No, I have not had COVID-19",3.35,percent
government_handling: 4,c19_experience,"Yes, I tested positive for COVID-19",4.59,percent
government_handling: 4,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",4.36,percent
government_handling: 4,c19_experience,"No, I have not had COVID-19",4.21,percent
government_handling: 5,c19_experience,"Yes, I tested positive for COVID-19",12.94,percent
government_handling: 5,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",14.96,percent
government_handling: 5,c19_experience,"No, I have not had COVID-19",9.4,percent
government_handling: 6,c19_experience,"Yes, I tested positive for COVID-19",11.84,percent
government_handling: 6,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",18.75,percent
government_handling: 6,c19_experience,"No, I have not had COVID-19",15.56,percent
government_handling: 7,c19_experience,"Yes, I tested positive for COVID-19",23.95,percent
government_handling: 7,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",14.88,percent
government_handling: 7,c19_experience,"No, I have not had COVID-19",20.08,percent
government_handling: 8,c19_experience,"Yes, I tested positive for COVID-19",22.59,percent
government_handling: 8,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",24.15,percent
