ess_round,year,response_category,freq,percent,cum_percent
1,2002,Satisfied,675.0089,34.18,34.18
1,2002,Dissatisfied,1299.9911,65.82,100.0
2,2004,Satisfied,1590.904,71.6,71.6
2,2004,Dissatisfied,631.096,28.4,100.0
3,2006,Satisfied,1190.0019,67.61,67.61
3,2006,Dissatisfied,569.9981,32.39,100.0
4,2008,Satisfied,158.6291,9.03,9.03
4,2008,Dissatisfied,1597.3709,90.97,100.0
5,2010,Satisfied,205.8401,8.03,8.03
5,2010,Dissatisfied,2357.1599,91.97,100.0
6,2012,Satisfied,315.7636,12.11,12.11
6,2012,Dissatisfied,2292.2364,87.89,100.0
7,2014,Satisfied,725.489,30.6,30.6
7,2014,Dissatisfied,1645.511,69.4,100.0
8,2016,Satisfied,1319.4009,48.38,48.38
8,2016,Dissatisfied,1407.5991,51.62,100.0
9,2018,Satisfied,1190.6257,54.32,54.32
9,2018,Dissatisfied,1001.3743,45.68,100.0
10,2021/22,Satisfied,788.6851,45.2,45.2
10,2021/22,Dissatisfied,956.3149,54.8,100.0
11,2023,Satisfied,978.2643,48.99,48.99
11,2023,Dissatisfied,1018.7357,51.01,100.0
