category,group_type,group_value,value,unit
Low trust in EU Parliament,education,<Lower Secondary,47.67,percent
Unification has gone far enough,education,<Lower Secondary,35.12,percent
Low attachment to Europe,education,<Lower Secondary,32.54,percent
Low trust in EU Parliament,education,Lower Secondary,44.21,percent
Unification has gone far enough,education,Lower Secondary,32.41,percent
Low attachment to Europe,education,Lower Secondary,28.2,percent
Low trust in EU Parliament,education,Upper Secondary,32.49,percent
Unification has gone far enough,education,Upper Secondary,29.39,percent
Low attachment to Europe,education,Upper Secondary,22.02,percent
Low trust in EU Parliament,education,Advanced Vocational,32.89,percent
Unification has gone far enough,education,Advanced Vocational,30.12,percent
Low attachment to Europe,education,Advanced Vocational,24.95,percent
Low trust in EU Parliament,education,Tertiary,20.83,percent
Unification has gone far enough,education,Tertiary,20.66,percent
Low attachment to Europe,education,Tertiary,15.83,percent
