category,group_type,group_value,value,unit
Trust in EU Parliament - Sceptical European,education,<Lower Secondary,47.67,percent
Trust in EU Parliament - Neutral answer (5),education,<Lower Secondary,18.6,percent
Trust in EU Parliament - Pro-European,education,<Lower Secondary,33.73,percent
Attitude to EU Unification - Sceptical European,education,<Lower Secondary,35.12,percent
Attitude to EU Unification - Neutral answer (5),education,<Lower Secondary,23.07,percent
Attitude to EU Unification - Pro-European,education,<Lower Secondary,41.81,percent
Emotional Attachment to Europe - Sceptical European,education,<Lower Secondary,32.54,percent
Emotional Attachment to Europe - Neutral answer (5),education,<Lower Secondary,26.62,percent
Emotional Attachment to Europe - Pro-European,education,<Lower Secondary,40.83,percent
Trust in EU Parliament - Sceptical European,education,Lower Secondary,44.21,percent
Trust in EU Parliament - Neutral answer (5),education,Lower Secondary,18.73,percent
Trust in EU Parliament - Pro-European,education,Lower Secondary,37.06,percent
Attitude to EU Unification - Sceptical European,education,Lower Secondary,32.41,percent
Attitude to EU Unification - Neutral answer (5),education,Lower Secondary,25.5,percent
Attitude to EU Unification - Pro-European,education,Lower Secondary,42.09,percent
Emotional Attachment to Europe - Sceptical European,education,Lower Secondary,28.2,percent
Emotional Attachment to Europe - Neutral answer (5),education,Lower Secondary,17.58,percent
Emotional Attachment to Europe - Pro-European,education,Lower Secondary,54.22,percent
Trust in EU Parliament - Sceptical European,education,Upper Secondary,32.49,percent
Trust in EU Parliament - Neutral answer (5),education,Upper Secondary,21.87,percent
Trust in EU Parliament - Pro-European,education,Upper Secondary,45.64,percent
Attitude to EU Unification - Sceptical European,education,Upper Secondary,29.39,percent
Attitude to EU Unification - Neutral answer (5),education,Upper Secondary,23.08,percent
Attitude to EU Unification - Pro-European,education,Upper Secondary,47.53,percent
Emotional Attachment to Europe - Sceptical European,education,Upper Secondary,22.02,percent
Emotional Attachment to Europe - Neutral answer (5),education,Upper Secondary,15.89,percent
Emotional Attachment to Europe - Pro-European,education,Upper Secondary,62.09,percent
Trust in EU Parliament - Sceptical European,education,Advanced Vocational,32.89,percent
Trust in EU Parliament - Neutral answer (5),education,Advanced Vocational,21.99,percent
Trust in EU Parliament - Pro-European,education,Advanced Vocational,45.12,percent
Attitude to EU Unification - Sceptical European,education,Advanced Vocational,30.12,percent
Attitude to EU Unification - Neutral answer (5),education,Advanced Vocational,22.09,percent
Attitude to EU Unification - Pro-European,education,Advanced Vocational,47.79,percent
Emotional Attachment to Europe - Sceptical European,education,Advanced Vocational,24.95,percent
Emotional Attachment to Europe - Neutral answer (5),education,Advanced Vocational,16.59,percent
Emotional Attachment to Europe - Pro-European,education,Advanced Vocational,58.45,percent
Trust in EU Parliament - Sceptical European,education,Tertiary,20.83,percent
Trust in EU Parliament - Neutral answer (5),education,Tertiary,15.84,percent
Trust in EU Parliament - Pro-European,education,Tertiary,63.33,percent
Attitude to EU Unification - Sceptical European,education,Tertiary,20.66,percent
Attitude to EU Unification - Neutral answer (5),education,Tertiary,29.18,percent
Attitude to EU Unification - Pro-European,education,Tertiary,50.16,percent
Emotional Attachment to Europe - Sceptical European,education,Tertiary,15.83,percent
Emotional Attachment to Europe - Neutral answer (5),education,Tertiary,14.5,percent
Emotional Attachment to Europe - Pro-European,education,Tertiary,69.67,percent
