category,group_type,group_value,value,unit
Trust in EU Parliament - Sceptical European,urban_rural,Urban,29.28,percent
Trust in EU Parliament - Neutral answer (5),urban_rural,Urban,18.42,percent
Trust in EU Parliament - Pro-European,urban_rural,Urban,52.3,percent
Attitude to EU Unification - Sceptical European,urban_rural,Urban,22.52,percent
Attitude to EU Unification - Neutral answer (5),urban_rural,Urban,22.53,percent
Attitude to EU Unification - Pro-European,urban_rural,Urban,54.95,percent
Emotional Attachment to Europe - Sceptical European,urban_rural,Urban,18.19,percent
Emotional Attachment to Europe - Neutral answer (5),urban_rural,Urban,13.34,percent
Emotional Attachment to Europe - Pro-European,urban_rural,Urban,68.48,percent
Trust in EU Parliament - Sceptical European,urban_rural,Rural,33.12,percent
Trust in EU Parliament - Neutral answer (5),urban_rural,Rural,20.37,percent
Trust in EU Parliament - Pro-European,urban_rural,Rural,46.5,percent
Attitude to EU Unification - Sceptical European,urban_rural,Rural,32.32,percent
Attitude to EU Unification - Neutral answer (5),urban_rural,Rural,28.56,percent
Attitude to EU Unification - Pro-European,urban_rural,Rural,39.12,percent
Emotional Attachment to Europe - Sceptical European,urban_rural,Rural,26.3,percent
Emotional Attachment to Europe - Neutral answer (5),urban_rural,Rural,19.69,percent
Emotional Attachment to Europe - Pro-European,urban_rural,Rural,54.01,percent
