ess_round,year,series,value
1,2002,Trust in EU Parliament,5.1315
2,2004,Trust in EU Parliament,5.3998
2,2004,Attitude to EU Unification,5.6874
3,2006,Trust in EU Parliament,5.3098
3,2006,Attitude to EU Unification,4.9902
4,2008,Trust in EU Parliament,4.768
4,2008,Attitude to EU Unification,4.9863
5,2010,Trust in EU Parliament,4.1055
6,2012,Trust in EU Parliament,4.3862
6,2012,Attitude to EU Unification,4.53
7,2014,Trust in EU Parliament,4.626
7,2014,Attitude to EU Unification,4.5954
8,2016,Trust in EU Parliament,5.004
8,2016,Attitude to EU Unification,4.8472
9,2018,Trust in EU Parliament,5.0882
9,2018,Attitude to EU Unification,5.2074
10,2021/22,Trust in EU Parliament,5.4808
10,2021/22,Attitude to EU Unification,5.8419
11,2023,Trust in EU Parliament,5.1758
11,2023,Attitude to EU Unification,5.3418
