ess_round,year,series,value
1,2002,Very good health,44.18
2,2004,Very good health,46.39
3,2006,Very good health,37.8
4,2008,Very good health,45.52
5,2010,Very good health,44.87
6,2012,Very good health,43.29
7,2014,Very good health,42.13
8,2016,Very good health,41.61
9,2018,Very good health,41.94
10,2021/22,Very good health,45.1
11,2023,Very good health,37.37
1,2002,Fair/bad/very bad health,14.47
2,2004,Fair/bad/very bad health,12.86
3,2006,Fair/bad/very bad health,16.9
4,2008,Fair/bad/very bad health,15.16
5,2010,Fair/bad/very bad health,15.91
6,2012,Fair/bad/very bad health,15.39
7,2014,Fair/bad/very bad health,15.18
8,2016,Fair/bad/very bad health,17.58
9,2018,Fair/bad/very bad health,18.35
10,2021/22,Fair/bad/very bad health,16.12
11,2023,Fair/bad/very bad health,18.67
