category,group_type,group_value,value,unit
None or almost none of the time,feeling_item,Felt depressed,76.91,percent
Some of the time,feeling_item,Felt depressed,20.17,percent
Most of the time,feeling_item,Felt depressed,2.1,percent
All or almost all of the time,feeling_item,Felt depressed,0.82,percent
None or almost none of the time,feeling_item,Felt everything did as effort,57.84,percent
Some of the time,feeling_item,Felt everything did as effort,33.97,percent
Most of the time,feeling_item,Felt everything did as effort,6.69,percent
All or almost all of the time,feeling_item,Felt everything did as effort,1.5,percent
None or almost none of the time,feeling_item,Sleep was restless,48.05,percent
Some of the time,feeling_item,Sleep was restless,38.88,percent
Most of the time,feeling_item,Sleep was restless,9.41,percent
All or almost all of the time,feeling_item,Sleep was restless,3.66,percent
None or almost none of the time,feeling_item,Were happy,2.28,percent
Some of the time,feeling_item,Were happy,16.31,percent
Most of the time,feeling_item,Were happy,42.56,percent
All or almost all of the time,feeling_item,Were happy,38.85,percent
None or almost none of the time,feeling_item,Felt lonely,72.41,percent
Some of the time,feeling_item,Felt lonely,23.47,percent
Most of the time,feeling_item,Felt lonely,3.16,percent
All or almost all of the time,feeling_item,Felt lonely,0.96,percent
None or almost none of the time,feeling_item,Enjoyed life,2.08,percent
Some of the time,feeling_item,Enjoyed life,16.4,percent
Most of the time,feeling_item,Enjoyed life,42.88,percent
All or almost all of the time,feeling_item,Enjoyed life,38.63,percent
None or almost none of the time,feeling_item,Felt sad,61.61,percent
Some of the time,feeling_item,Felt sad,34.99,percent
Most of the time,feeling_item,Felt sad,2.94,percent
All or almost all of the time,feeling_item,Felt sad,0.46,percent
None or almost none of the time,feeling_item,Could not get going,60.29,percent
Some of the time,feeling_item,Could not get going,35.22,percent
Most of the time,feeling_item,Could not get going,3.82,percent
All or almost all of the time,feeling_item,Could not get going,0.67,percent
