category,group_type,group_value,value,unit
Economy,education,<Lower Secondary,42.04,percent
Culture,education,<Lower Secondary,43.98,percent
Place to live,education,<Lower Secondary,36.71,percent
Economy,education,Lower Secondary,46.23,percent
Culture,education,Lower Secondary,52.2,percent
Place to live,education,Lower Secondary,49.78,percent
Economy,education,Upper Secondary,54.12,percent
Culture,education,Upper Secondary,57.09,percent
Place to live,education,Upper Secondary,58.17,percent
Economy,education,Advanced Vocational,61.91,percent
Culture,education,Advanced Vocational,65.8,percent
Place to live,education,Advanced Vocational,60.86,percent
Economy,education,Tertiary,78.24,percent
Culture,education,Tertiary,80.62,percent
Place to live,education,Tertiary,79.62,percent
