category,group_type,group_value,value,unit
Economy - Negative view,employment,In paid work,34.07,percent
Economy - Positive view,employment,In paid work,65.93,percent
Economy - Negative view,employment,Unemployed,47.54,percent
Economy - Positive view,employment,Unemployed,52.46,percent
Culture - Negative view,employment,In paid work,30.64,percent
Culture - Positive view,employment,In paid work,69.36,percent
Culture - Negative view,employment,Unemployed,41.15,percent
Culture - Positive view,employment,Unemployed,58.85,percent
Place to live - Negative view,employment,In paid work,32.78,percent
Place to live - Positive view,employment,In paid work,67.22,percent
Place to live - Negative view,employment,Unemployed,48.27,percent
Place to live - Positive view,employment,Unemployed,51.73,percent
