ess_round,year,series,value
1,2002,Economy,4.9909
1,2002,Culture,5.59
1,2002,Place to live,5.362
2,2004,Economy,5.8094
2,2004,Culture,5.8382
2,2004,Place to live,5.617
3,2006,Economy,6.0869
3,2006,Culture,5.9148
3,2006,Place to live,5.7575
4,2008,Economy,4.9759
4,2008,Culture,5.7327
4,2008,Place to live,5.5162
5,2010,Economy,4.4756
5,2010,Culture,5.3161
5,2010,Place to live,5.1345
6,2012,Economy,4.9504
6,2012,Culture,5.5467
6,2012,Place to live,5.4739
7,2014,Economy,5.0772
7,2014,Culture,5.4772
7,2014,Place to live,5.4339
8,2016,Economy,5.8187
8,2016,Culture,6.0402
8,2016,Place to live,6.0731
9,2018,Economy,6.229
9,2018,Culture,6.2841
9,2018,Place to live,6.4113
10,2021/22,Economy,6.6019
10,2021/22,Culture,6.7224
10,2021/22,Place to live,6.8661
11,2023,Economy,6.2067
11,2023,Culture,6.2768
11,2023,Place to live,6.2592
