ess_round,year,series,value
1,2002,Life Satisfaction,7.4267
1,2002,Happiness,7.8627
2,2004,Life Satisfaction,7.667
2,2004,Happiness,7.9317
3,2006,Life Satisfaction,7.5126
3,2006,Happiness,7.7644
4,2008,Life Satisfaction,7.0826
4,2008,Happiness,7.5091
5,2010,Life Satisfaction,6.6143
5,2010,Happiness,7.036
6,2012,Life Satisfaction,6.7918
6,2012,Happiness,7.1537
7,2014,Life Satisfaction,7.0556
7,2014,Happiness,7.3311
8,2016,Life Satisfaction,7.2701
8,2016,Happiness,7.5503
9,2018,Life Satisfaction,7.2152
9,2018,Happiness,7.7288
10,2021/22,Life Satisfaction,7.3582
10,2021/22,Happiness,7.573
11,2023,Life Satisfaction,7.3831
11,2023,Happiness,7.712
