ess_round,year,response_category,freq,percent,cum_percent
1,2002,Yes,1652.7558,81.1,81.1
1,2002,No,385.2442,18.9,100.0
2,2004,Yes,1968.2536,86.25,86.25
2,2004,No,313.7464,13.75,100.0
3,2006,Yes,1405.2965,79.31,79.31
3,2006,No,366.7035,20.69,100.0
4,2008,Yes,1388.5359,78.89,78.89
4,2008,No,371.4641,21.11,100.0
5,2010,Yes,1982.8348,77.09,77.09
5,2010,No,589.1652,22.91,100.0
6,2012,Yes,2000.6193,76.48,76.48
6,2012,No,615.3807,23.52,100.0
7,2014,Yes,1744.5522,73.64,73.64
7,2014,No,624.4478,26.36,100.0
8,2016,Yes,1977.5123,71.96,71.96
8,2016,No,770.4877,28.04,100.0
9,2018,Yes,1429.2417,64.85,64.85
9,2018,No,774.7583,35.15,100.0
10,2021/22,Yes,1070.1532,60.91,60.91
10,2021/22,No,686.8468,39.09,100.0
11,2023,Yes,1364.5774,68.09,68.09
11,2023,No,639.4226,31.91,100.0
