ess_round,year,series,value
1,2002,Garda,6.4437
1,2002,Legal System,5.1554
1,2002,Parliament,4.4215
1,2002,Politicians,3.7087
2,2004,Garda,6.4777
2,2004,Legal System,5.2148
2,2004,Parliament,4.6777
2,2004,Politicians,3.8591
2,2004,Political Parties,3.9292
3,2006,Garda,6.1334
3,2006,Legal System,5.0653
3,2006,Parliament,4.8311
3,2006,Politicians,3.8202
3,2006,Political Parties,3.8771
4,2008,Garda,6.4936
4,2008,Legal System,5.0543
4,2008,Parliament,3.865
4,2008,Politicians,3.2012
4,2008,Political Parties,3.3187
5,2010,Garda,6.5127
5,2010,Legal System,5.1317
5,2010,Parliament,3.7077
5,2010,Politicians,3.1088
5,2010,Political Parties,3.0685
6,2012,Garda,6.6261
6,2012,Legal System,5.2161
6,2012,Parliament,3.5855
6,2012,Politicians,3.0932
6,2012,Political Parties,2.9709
7,2014,Garda,6.275
7,2014,Legal System,5.3115
7,2014,Parliament,3.8261
7,2014,Politicians,3.3377
7,2014,Political Parties,3.2848
8,2016,Garda,6.178
8,2016,Legal System,5.5137
8,2016,Parliament,4.5223
8,2016,Politicians,3.7539
8,2016,Political Parties,3.7512
9,2018,Garda,6.243
9,2018,Legal System,5.3513
9,2018,Parliament,4.7321
9,2018,Politicians,3.9726
9,2018,Political Parties,3.8969
10,2021/22,Garda,6.5587
10,2021/22,Legal System,5.7436
10,2021/22,Parliament,4.9483
10,2021/22,Politicians,4.2173
10,2021/22,Political Parties,4.0649
11,2023,Garda,6.3
11,2023,Legal System,5.7
11,2023,Parliament,5.0
11,2023,Politicians,4.2
11,2023,Political Parties,4.2
